,Turkey,United Kingdom,Israel,Egypt,Greece,Saudi Arabia,Iran,United Arab Emirates
2005,12081156314,55151564188,10919173621,2659439714,7028428593,25392038601,6796744965,6604220558
2006,13363298981,57482975674,11558970817,2952520159,7607186182,29580507343,8751474767,7165418652
2007,15319161863,65986089657,12128941564,3306908257,8533090258,35469513009,9330901882,8460993873
2008,17127313222,65619450480,14191949919,3779880350,10574138499,38222933333,11081950209,11571681416
2009,16352301844,57914627858,14030376087,4017404478,10641348183,41267200000,12584623339,13836351259
2010,17939370512,58082848795,14605298604,4407286453,8163619387,45244533333,13561272454,17504697073
2011,17304881561,60270435687,16343210462,4463974191,7128608267,48530933333,14277667361,19024098026
2012,17958240406,58495656721,15567095862,4557748767,5914988423,56497866667,16493963287,23561061947
2013,18662574078,62861759588,17319707976,4359834244,5655183036,67020000000,11997186984,22755071477
2014,17772167745,59182858554,18485829607,5085120542,5531285909,80762400000,9901105170,NA
2015,15880927524,53862185493,16969432086,5475490833,4818121326,87185866667,10588769671,NA
2016,17853980850,58118943518,14783814748,4513022527,4963484464,63672800000,12263957415,NA
2017,17824007487,56433303401,16581608422,2765588434,5093788906,70400000000,13931196490,NA
2018,18967113031,59997192521,17946788601,3109997892,5227152013,67554666667,13194151137,NA
2019,21967113031,65520036721,18946788601,3209997892,5027152013,77554666667,15194151137,NA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
